INPUT-#Scan#	INPUT-SpectrumID	INPUT-Compound_Name	INPUT-InChIKey-Planar	Tag_Status1	Action1	Add_InCHIKey-Planar	Cannot_Add_InChIKey-Planar	Tag_Status2	Action2	Add_Tag1	Add_Tag2	Add_Tag3	Contribute-NCBITaxonomy1	Contribute-NCBITaxonomy2	Contribute-NCBITaxonomy3	Contribute-UBERONTag1	Contribute-UBERONTag2	Contribute-UBERONTag3	Contribute-LifestyleTag1	Contribute-LifestyleTag2	Contribute-LifestyleTag3	Current_Tags	Current_NCBITaxonomy	Current_UBERON	Current_Lifestyle
5760	CCMSLIB00003453000	L-Carnosine	CQOVPNPJLQNMDC	Tags Missing	Add Tags																				
111241	CCMSLIB00000852242	NCGC00180755-03_C16H22O9_(4aS,5R,6S)-1-Oxo-5-vinyl-4,4a,5,6-tetrahydro-1H,3H-pyrano[3,4-c]pyran-6-yl beta-D-glucopyranoside	VSJGJMKGNMDJCI	Tags Missing	Add Tags																				
338439	CCMSLIB00003136628	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	WTJKGGKOPKCXLL		Tags Missing	Add Tags																
42489	CCMSLIB00003214305	Tyr-Leu	AUEJLPRZGVVDNU	Tags Missing	Add Tags																				
211967	CCMSLIB00003236370	Isoquercitin	OVSQVDMCBVZWGM	Tags Present	Check Current Tags and Add if Incomplete																	food			
5158	CCMSLIB00003134786	Spectral Match to Gly-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	JBCLFWXMTIKCCB		Tags Missing	Add Tags																
50239	CCMSLIB00003236346	3,5,7,3',4'-Pentahydroxyflavanone	CXQWRCVTCMQVQX	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_modified|naturalproduct_plant			
313460	CCMSLIB00000845838	NCGC00385756-01!(2S)-2-[4-[(2S,3R,4S,5S,6R)-3-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one	JUYBMOHJXUXKDN	Tags Missing	Add Tags																				
363201	CCMSLIB00000848115	NCGC00385765-01![(2S,3R,4S,5R,6R)-6-[[(2R,3R,4R,5S,6S)-3,5-dihydroxy-6-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxymethyl]-2-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-5-hydroxy-4-[(2S,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-3-yl] (E)-3-(4-hydroxyphenyl)prop-2-enoate	YDPDTPHAIHAETR	Tags Missing	Add Tags																				
265016	CCMSLIB00004697364	(1S,3R,4R,5R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,5-dihydroxy-4-[(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]oxycyclohexane-1-carboxylic acid	BEDSGEULUAVXQH	Tags Missing	Add Tags																				
344869	CCMSLIB00003139425	Spectral Match to 1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	IESVDEZGAHUQJU		Tags Missing	Add Tags																
340561	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
211282	CCMSLIB00003578195	(R)-Butyrylcarnitine	QWYFHHGCZUCMBN	Tags Missing	Add Tags																				
34178	CCMSLIB00003137370	Spectral Match to Piperine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	MXXWOMGUGJBKIW		Tags Present	Check Current Tags and Add if Incomplete													food|plant			food consumption_spices
2544	CCMSLIB00003135901	Spectral Match to L-Tryptophan from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	QIVBCDIJIAJPQS		Tags Present	Check Current Tags and Add if Incomplete													bacterial|human|mice|food	9606|Homo sapiens:10088|Mus		
338399	CCMSLIB00003136628	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	WTJKGGKOPKCXLL		Tags Missing	Add Tags																
338599	CCMSLIB00003268177	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
329121	CCMSLIB00005721775	NCGC00386032-01!3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one [IIN-based: Match]	VNLOLXSJMINBIS	Tags Missing	Add Tags																				
340780	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
271084	CCMSLIB00003139020	Spectral Match to Procyanidin B2 from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	XFZJEEAOWLFHDH		Tags Present	Check Current Tags and Add if Incomplete													food|naturalproduct_plant|plant			food consumption
337940	CCMSLIB00003376313	Palmitoyleicosapentaenoyl phosphatidylcholine	KLTHQSWIRFFBRI	Tags Missing	Add Tags																				
340333	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
338868	CCMSLIB00003268175	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
108990	CCMSLIB00001058997	Pesticide4_Piperonyl butoxide_C19H30O5_Butacide	FIPWRIJSWJWJAI	Tags Present	Check Current Tags and Add if Incomplete																	biocide_insecticide|environmental			biocide exposure
2251	CCMSLIB00001058728	Pesticide5_Thiabendazole_C10H7N3S_2-(4-Thiazoly)benzimidazole	WJCNZQLZVWNLKY	Tags Present	Check Current Tags and Add if Incomplete																	biocide_antimicrobial|drug			parasitic infectious disease
331261	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
340284	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
28804	CCMSLIB00000206961	Massbank:EA013505 Metalaxyl|2-(N-(2-methoxy-1-oxoethyl)-2,6-dimethylanilino)propanoic acid methyl ester	ZQEIXNIJLIKNTD	Tags Present	Check Current Tags and Add if Incomplete																	biocide_antimicrobial|environmental			
234890	CCMSLIB00003401274	4,5-Dicaffeoylquinic acid	UFCLZKMFXSILNL	Tags Present	Check Current Tags and Add if Incomplete																	food			
367	CCMSLIB00003460503	p-Coumaric acid	NGSWKAQJJWESNS	Tags Present	Check Current Tags and Add if Incomplete																	food			
199450	CCMSLIB00000847415	NCGC00384974-01!4-[5-(4-hydroxy-3,5-dimethoxyphenyl)-3,4-dimethyloxolan-2-yl]-2,6-dimethoxyphenol	CAUANPLJFMVCHO	Tags Present	Check Current Tags and Add if Incomplete																	food			
230065	CCMSLIB00000854133	NCGC00385264-02_C27H44O6_1,1,4,7-Tetramethyldecahydro-1H-cyclopropa[e]azulen-4-yl 6-deoxy-2-O-[(2E)-3-methyl-2-pentenoyl]-beta-L-galactopyranoside	UQUYXFBISSCISA	Tags Missing	Add Tags																				
160192	CCMSLIB00003343449	Nobiletin	MRIAQLRQZPPODS	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption_citrus
338888	CCMSLIB00003268315	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
332501	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
3111	CCMSLIB00003369135	L-Tyrosine, ethyl ester	SBBWEQLNKVHYCX	Tags Present	Check Current Tags and Add if Incomplete																	food			
331335	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
329906	CCMSLIB00003135073	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
139653	CCMSLIB00003134823	Spectral Match to .beta.-D-Glucose from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	WQZGKKKJIJFFOK		Tags Present	Check Current Tags and Add if Incomplete													food|plant			food consumption_additives|food consumption_fruits|food consumption_sweeteners
2039	CCMSLIB00003551954	Ethyl gallate	VFPFQHQNJCMNBZ	Tags Present	Check Current Tags and Add if Incomplete																	food|food_additive			
340300	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
331456	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
80434	CCMSLIB00003137511	Spectral Match to 1,3,4,6-Tetra-O-acetyl-.beta.-D-mannopyranose from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	SHBHJRVMGYVXKK		Tags Missing	Add Tags																
331975	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
332122	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
170735	CCMSLIB00000853048	NCGC00347704-02_C24H32O7_2H-Oxireno[1,10a]phenanthro[3,2-b]furan-10(11bH)-one, 5,7-bis(acetyloxy)-3,3a,4,5,6,7,7a,7b,8,8a-decahydro-4,4,7a,11-tetramethyl-, (1aS,3aR,5S,7S,7aR,7bS,8aR,11bR)-	YOELDOOOBJSHSZ	Tags Missing	Add Tags																				
220502	CCMSLIB00000845585	NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid	VJQANBSDAGCDJE	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
39500	CCMSLIB00003138557	Spectral Match to Glu-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	XMBSYZWANAQXEV		Tags Missing	Add Tags																
338766	CCMSLIB00003268317	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
340740	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
332080	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
339567	CCMSLIB00003501106	Arachidonoylthiophosphorylcholine	YDSCLGYBUIDZNF	Tags Missing	Add Tags																				
331347	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
39444	CCMSLIB00003138557	Spectral Match to Glu-Phe from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	XMBSYZWANAQXEV		Tags Missing	Add Tags																
52406	CCMSLIB00003400172	(-)-Epigallocatechin	XMOCLSLCDHWDHP	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption_coffee|food consumption_tea
49986	CCMSLIB00003487779	Cocaine	ZPUCINDJVBIVPJ	Tags Present	Check Current Tags and Add if Incomplete																	drug			cocaine dependence
112709	CCMSLIB00003247455	Rosmarinic acid	DOUMFZQKYFQNTF	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption_herbs
198113	CCMSLIB00003134893	Spectral Match to (-)-Catechin gallate from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	LSHVYAFMTMFKBA		Tags Present	Check Current Tags and Add if Incomplete													food			food consumption_cocoa|food consumption_pome fruits|food consumption_tea
60177	CCMSLIB00003136058	Spectral Match to Avobenzone from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	XNEFYCZVKIDDMS		Tags Present	Check Current Tags and Add if Incomplete													environmental|personalcareproduct|synthetic			outdoor activity|personal care products
335155	CCMSLIB00000848357	NCGC00179887-02!3-[(2S,3R,4S,5R,6R)-6-[[(2R,3R,4R,5S,6S)-3,5-dihydroxy-6-methyl-4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxy-7-methoxychromen-4-one	NMGVHLDIHNFGQB	Tags Missing	Add Tags																				
200277	CCMSLIB00000845876	NCGC00380996-01![1-(3,4-dimethoxyphenyl)-2-(2,6-dimethoxy-4-prop-2-enylphenoxy)propyl] acetate	SITDJJDXDVFCAP	Tags Missing	Add Tags																				
26346	CCMSLIB00003139155	Spectral Match to Sulfisomidin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	YZMCKZRAOLZXAZ		Tags Present	Check Current Tags and Add if Incomplete													biocide_antimicrobial|drug			
329732	CCMSLIB00003135073	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
280288	CCMSLIB00000846103	NCGC00168946-02!5-hydroxy-2-(4-methoxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-7-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one	OFKKUHQXUNAUKP	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
339694	CCMSLIB00003501106	Arachidonoylthiophosphorylcholine	YDSCLGYBUIDZNF	Tags Missing	Add Tags																				
331299	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
331803	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
211775	CCMSLIB00003134562	Spectral Match to Delphinidin 3-O-glucoside cation from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	XENHPQQLDPAYIJ		Tags Present	Check Current Tags and Add if Incomplete													food			
330198	CCMSLIB00003135073	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
211801	CCMSLIB00003236370	Isoquercitin	OVSQVDMCBVZWGM	Tags Present	Check Current Tags and Add if Incomplete																	food			
39675	CCMSLIB00003737070	Phe-Glu	JXWLMUIXUXLIJR	Tags Missing	Add Tags																				
36938	CCMSLIB00000213703	Massbank:FIO00069 (-)-Epicatechin	PFTAWBLQPZVEMU	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption_cocoa|food consumption_pome fruits|food consumption_tea
329747	CCMSLIB00003135073	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
6420	CCMSLIB00003135975	Spectral Match to Leu-Pro from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	VTJUNIYRYIAIHF		Tags Missing	Add Tags																
60934	CCMSLIB00003736397	Phe-Phe	GKZIWHRNKRBEOH	Tags Missing	Add Tags																				
211852	CCMSLIB00004678813	quercetin-3-O-hexoside	OVSQVDMCBVZWGM	Tags Present	Check Current Tags and Add if Incomplete																	food			
220529	CCMSLIB00000845585	NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid	VJQANBSDAGCDJE	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
149793	CCMSLIB00003196692	Trp-Trp	NQIHMZLGCZNZBN	Tags Missing	Add Tags																				
329524	CCMSLIB00003135073	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
170741	CCMSLIB00000853048	NCGC00347704-02_C24H32O7_2H-Oxireno[1,10a]phenanthro[3,2-b]furan-10(11bH)-one, 5,7-bis(acetyloxy)-3,3a,4,5,6,7,7a,7b,8,8a-decahydro-4,4,7a,11-tetramethyl-, (1aS,3aR,5S,7S,7aR,7bS,8aR,11bR)-	YOELDOOOBJSHSZ	Tags Missing	Add Tags																				
271794	CCMSLIB00000846087	NCGC00385356-01![(2S,3R,4S,5R,6R)-3,5-dihydroxy-2-[[5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-2,3-dihydrochromen-7-yl]oxy]-6-(hydroxymethyl)oxan-4-yl] (E)-3-(4-hydroxyphenyl)prop-2-enoate	BEHIONSZUBFJLA	Tags Missing	Add Tags																				
332887	CCMSLIB00003173897	1-Palmitoyl-2-stearoyl-sn-glycero-3-phosphocholine	PZNPLUBHRSSFHT	Tags Missing	Add Tags																				
339708	CCMSLIB00003501106	Arachidonoylthiophosphorylcholine	YDSCLGYBUIDZNF	Tags Missing	Add Tags																				
280932	CCMSLIB00000214502	Massbank:FIO00592 Rutin	IKGXIBQEEMLURG	Tags Present	Check Current Tags and Add if Incomplete																	food			plant-based chemical exposure
188481	CCMSLIB00004678817	quercetin-3-O-pentoside	PZZRDJXEMZMZFD	Tags Present	Check Current Tags and Add if Incomplete																	food			
331611	CCMSLIB00003268297	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
330095	CCMSLIB00003135073	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
341135	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
1762	CCMSLIB00000214467	Massbank:FIO00570 Caffeine	RYYVLZVUVIJVGH	Tags Present	Check Current Tags and Add if Incomplete																	food|MS_internal_standard			
199005	CCMSLIB00000854777	NCGC00169629-02_C27H28N2O4_Benzenepropanamide, N-[2-(acetyloxy)-1-(phenylmethyl)ethyl]-alpha-(benzoylamino)-	VZPAURMDJZOGHU	Tags Missing	Add Tags																				
307580	CCMSLIB00003296210	Inosine 5'-monophosphate	GRSZFWQUAKGDAV	Tags Missing	Add Tags																				
275927	CCMSLIB00000213826	Massbank:FIO00172 Kaempferol-7-neohesperidoside	ZEJXENDZTYVXDP	Tags Present	Check Current Tags and Add if Incomplete																	food			
220461	CCMSLIB00000845585	NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid	VJQANBSDAGCDJE	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
69858	CCMSLIB00003200881	Melibiose	AYRXSINWFIIFAE	Tags Missing	Add Tags																				
14893	CCMSLIB00000848336	NCGC00090504-13!(E)-1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one	DXDRHHKMWQZJHT	Tags Missing	Add Tags																				
341400	CCMSLIB00003099315	PC(18:0/18:1); [M+H]+ C44H87N1O8P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
339525	CCMSLIB00003501106	Arachidonoylthiophosphorylcholine	YDSCLGYBUIDZNF	Tags Missing	Add Tags																				
61844	CCMSLIB00003339767	4',5,7-Trimethoxyflavanone	MQFSCAHSIUPLSB	Tags Missing	Add Tags																				
34384	CCMSLIB00003137370	Spectral Match to Piperine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	MXXWOMGUGJBKIW		Tags Present	Check Current Tags and Add if Incomplete	food_source_plant												food|plant			food consumption_spices
31729	CCMSLIB00000848810	NCGC00169940-02!3-(1H-indol-3-ylmethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione	RYFZBPVMVYTEKZ	Tags Missing	Add Tags																				
2121	CCMSLIB00003139145	Spectral Match to 4-Hydroxy-4'-methyldiphenylamine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	PJCNSVHWHHVSMK		Tags Missing	Add Tags																
70014	CCMSLIB00003200879	Melibiose	AYRXSINWFIIFAE	Tags Missing	Add Tags					food															
332278	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
340581	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
35061	CCMSLIB00000846005	NCGC00180735-02!5,7-dihydroxy-6-methoxy-2-phenyl-2,3-dihydrochromen-4-one	QUAPPCXFYKSDSV	Tags Missing	Add Tags																				
152318	CCMSLIB00003634066	Fluopyram	KVDJTXBXMWJJEF	Tags Present	Check Current Tags and Add if Incomplete																	biocide_antimicrobial|environmental			
36912	CCMSLIB00000223090	Massbank:PR100263 (+)-Epicatechin|EpCt-pl|ent-Epicatechin|Epicatechol|(+)-3,3',4',5,7-Pentahydroxyflavan	PFTAWBLQPZVEMU	Tags Present	Check Current Tags and Add if Incomplete																	food			food consumption_cocoa|food consumption_pome fruits|food consumption_tea
70034	CCMSLIB00003137533	Spectral Match to Sucrose from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	CZMRCDWAGMRECN		Tags Present	Check Current Tags and Add if Incomplete													food			
340328	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
220538	CCMSLIB00000845585	NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid	VJQANBSDAGCDJE	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
331646	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
344342	CCMSLIB00004706499	3-[(2S,3R,4S,5S,6R)-3-[(2S,3R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-6-methoxychromen-4-one	NVYWCFHFPXGDKS	Tags Missing	Add Tags																				
64725	CCMSLIB00003550197	Dihydromyricetin	KJXSIXMJHKAJOD	Tags Present	Check Current Tags and Add if Incomplete																	food			
331651	CCMSLIB00003268411	1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine	RRVPPYNAZJRZFR	Tags Missing	Add Tags																				
330067	CCMSLIB00003135073	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
331534	CCMSLIB00003268296	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
340265	CCMSLIB00003585029	1,2-dioleoyl-sn-glycero-3-phosphatidylcholine	SNKAWJBJQDLSFF	Tags Missing	Add Tags																				
346364	CCMSLIB00003136588	Spectral Match to N-Tetracosanoyl-4-sphingenyl-1-O-phosphorylcholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
217820	CCMSLIB00000579268	4"-O-methyl-EGCG	BMJHAAZDURGGSC	Tags Present	Check Current Tags and Add if Incomplete																	food			
33744	CCMSLIB00003338304	4',6'-Dimethoxy-2'-hydroxychalcone	QKQLSQLKXBHUSO	Tags Missing	Add Tags																				
62096	CCMSLIB00004699027	1,4a-dimethyl-9-oxo-7-propan-2-yl-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid	MSWJSDLNPCSSNW	Tags Missing	Add Tags																				
143064	CCMSLIB00005467722	Succinoadenosine	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	VKGZCEJTCKHMRL		Tags Present	Check Current Tags and Add if Incomplete													naturalproduct_fungal|human	9606|Homo sapiens	|blood|urine	
331510	CCMSLIB00003136135	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	WTJKGGKOPKCXLL		Tags Missing	Add Tags																
338323	CCMSLIB00003268175	1,2-Dilinoleoyl-sn-glycero-3-phosphocholine	FVXDQWZBHIXIEJ	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
329788	CCMSLIB00003135073	Spectral Match to 1-Hexadecanoyl-2-octadecadienoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
